threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2175475,4334203,97867,55884,139961,245608,133036,114123,262359,467562
12,2493241,4972231,73233,59821,146163,273760,129335,124788,275965,357667
12,2499065,4981777,70390,58870,143227,259354,162072,126611,259604,19556765
12,2512280,5008445,74730,58119,138538,288087,157290,122148,273250,19235075
12,2480628,4947897,69290,60263,139119,258623,147517,127007,267048,535228
12,2495349,4973525,74024,59330,140923,272499,194312,126426,331999,19321276
12,2485470,4959300,75554,59791,144931,276336,145153,127478,260415,375881
12,2489364,4962852,72624,61054,138458,256699,145222,127608,276496,500012
12,2477674,4941634,70470,59551,146413,263992,180940,128981,290371,20047120
12,2480553,4946554,73465,60793,145712,286264,147013,126621,270314,407920
12,2500828,4988648,70078,58349,141905,273150,128953,125619,275053,398694
12,2490570,4964279,69075,60953,145361,259273,145904,127277,243765,462953
12,2477139,4942630,73320,61695,143357,259224,165615,129612,315297,19579548
12,2485719,4955687,70186,60082,143197,262079,148049,129030,268701,567538
12,2487217,4960470,67865,59055,147455,259324,160700,127858,286384,19522201
12,2483014,4951258,73329,60117,142055,258663,165351,127763,303165,19495511
12,2492777,4972730,73723,60633,143849,266466,129952,125524,245378,372714
12,2496756,4976779,73347,59130,145472,266828,201676,126977,370181,19733063
12,2487515,4963467,73188,59511,147435,279441,140190,124863,271967,427927
12,2493710,4971486,69376,59701,142465,265274,146015,126696,272108,505512
12,2488488,4963151,69321,59145,141825,254204,176919,123740,277567,19508986
12,1989055,3966305,62348,24316,122479,10782926,814263,40561,13074618,21254741
12,1869060,3729725,57364,21080,45165,12512260,867670,36067,13382412,15204850
12,1831123,3651442,66779,21340,46166,13138157,745513,35611,13233985,27458168
12,1850110,3692213,56844,20543,43251,11591192,872490,35776,13380559,25271360
12,1851823,3695413,70098,21440,45615,13240127,843632,36017,13292956,26369487
12,1879886,3751552,57438,21060,43441,12352112,804592,36187,13845626,26362935
12,1817063,3624305,61915,21220,45845,12531176,1070811,36633,14185339,20302325
12,1834300,3659804,57874,20768,44904,12207802,753223,35792,13467351,19573967
12,1818258,3628166,67568,21600,46887,13176409,970091,35777,14433191,38698517
12,1851948,3697059,60298,20649,42950,12410390,1010890,36478,13707158,23982167
12,1889739,3771996,61322,21911,45916,11356465,731336,36418,13476498,28627989
12,1860072,3712187,57763,21059,43972,12544550,802679,35045,13774494,26857327
12,1842916,3676102,56333,21921,46376,13133208,959879,35897,14346300,26825208
12,1845140,3681500,62636,20813,43411,12871911,831455,36147,14053705,25639016
12,1829120,3649914,65785,20904,44002,12985883,960844,35767,13731073,15352156
12,1836545,3666254,64600,21340,45585,12650578,848820,35687,13671682,19769372
12,1807138,3607204,77027,21049,45565,13493499,905848,35466,14408436,26419121
12,1843065,3678454,67605,21019,44423,13250797,970567,35977,14247415,27184327
12,1867912,3725903,60340,21490,45235,12405801,920679,36212,13930184,27885103
12,1836116,3663227,63501,20889,44664,12409508,910354,35586,14204224,36767837
12,1837612,3666875,56822,20768,44112,11840838,840726,36498,13259133,23286329
12,1805282,3603953,64656,20833,43972,12989600,751570,34815,14151988,18574063
12,1830190,3653369,56227,21409,45776,12626594,904539,36368,14069604,23983248
12,1846933,3686125,54831,20478,43361,12692967,940315,35847,14276370,41378613
12,1841423,3673128,59874,21560,44724,12894553,838820,35677,13633340,27000003
12,1824920,3641063,61294,20373,42930,11655312,1050353,36227,13483481,24928511
12,1866655,3724733,65711,21100,45125,12956689,738505,35947,13486016,23052493
12,1874809,3742584,50996,20598,43571,11579431,875660,36087,14275788,38248538
12,1852370,3697445,55644,21921,44874,12270599,828738,35496,14028087,26764023
12,1822148,3636772,63914,20649,43791,12235504,886704,35491,13880943,28719911
12,1810947,3612423,57290,21661,45726,12039739,965972,34459,14117473,37196776
12,1870479,3731967,66254,20919,44894,13465126,880568,35306,14414727,35840087
12,1841908,3675196,57947,21089,43391,12105782,1064598,35907,13427897,27453359
12,1865768,3724677,67685,20919,43461,12411191,711517,35316,12579646,17749285
12,1804069,3600845,62324,21721,46016,12457237,809540,36078,13945092,26545056
12,1866164,3724898,54256,20869,42560,12542266,1012649,35476,14181342,27258466
12,1838045,3666223,70820,21450,44964,12838859,918347,35847,13837130,27810344
12,1823443,3638162,66706,20569,43721,12877771,843511,35457,14172266,28599817
12,1829598,3650914,67873,21730,46426,12641631,964187,35687,14260400,27178016
12,1847401,3687972,70663,21249,44694,13060302,872267,36473,14335049,25581268
12,1860243,3713020,61857,21310,45525,13153566,930302,36212,14004512,28076110
12,1852088,3696482,59782,20849,44072,12495139,875859,35161,14047753,27749281
12,1824910,3640155,64719,21540,47699,12309322,1041127,35937,13418280,25505056
12,1896105,3782996,51678,21300,44003,11636637,809898,35286,14105811,25669833
12,1851849,3694980,65208,21340,46247,12225545,904204,35761,13207256,25753069
12,1838129,3668772,60548,20879,44022,12473097,988431,35687,14262223,17124600
12,1859145,3707471,56599,21160,44493,12037304,983816,36142,13415915,27143051
12,1867704,3725902,65455,20739,45465,12328367,861323,36342,12857775,28678653
12,1813785,3619996,73000,21149,47429,12978249,772498,35406,14125838,26257068
12,1817647,3628980,61174,20218,43171,13055513,955506,35265,13450399,26554253
12,1836890,3667052,61009,21154,44794,12347754,1044829,36158,14278013,25947671
12,1819728,3632810,74205,20047,44754,13071002,892403,35967,13393654,27725567
12,1853135,3699472,72891,21370,44964,12697606,947777,35566,14180601,25529131
12,1881758,3756377,68378,20689,43411,12830494,916430,36227,14339808,36918738
12,1857902,3708658,58406,21600,43892,11334204,925701,37209,13674627,26205602
12,1822872,3638909,70287,20528,44923,12961557,996628,36067,13941565,37201135
12,1823945,3641066,71186,21350,45825,13372864,919075,35892,13851958,24535518
12,1867121,3727333,58588,21210,42680,12889824,832174,35787,13341717,25123274
12,1804039,3601121,67145,21054,44273,12331433,851109,35907,13248493,26807865
12,1857057,3707332,62182,20849,43751,12161857,903578,35380,13442895,27236575
12,2169305,4330537,72712,45960,141965,10506090,442124,110716,13127938,20886244
12,2478689,4946383,74411,62206,143668,248924,150729,130102,291143,551068
12,2499924,4983307,74873,59060,142916,281735,175669,127192,260806,20005331
