threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
9,86582,173051,10082237,102954,12886894,2376591336,343599,125657,8712815,8712815
10,819578,1112215,342697,87499,3430371,9971772,311182,111229,3771984,17725543
12,785559,1402182,240747,97218,2278945,18443023,237386,113613,2714004,4133554
12,652245,1302198,289481,120276,2720636,19245272,262490,123667,2293804,15612690
12,637177,1272376,296543,124879,3849910,19041699,305318,136181,2780108,19871900
12,650587,1299212,315452,127119,3443646,19472128,290584,144222,2975526,5926335
12,661504,1320975,289702,127740,2864947,18949816,358137,138891,4295457,18632088
12,643405,1284773,309834,124905,3572098,19401175,282110,136847,4078830,5773657
12,639735,1277545,290601,122280,3513577,19312187,283793,138341,2452322,6249793
12,632266,1262584,333699,126773,4096424,19895624,274426,148479,2496796,4140206
12,651947,1301879,306286,122435,3398531,19279807,311433,140083,2098045,19806667
12,658432,1314795,302230,122470,3541611,19569631,327426,137709,4095141,19312468
12,647471,1293544,284914,120116,2625377,19351702,287396,128051,3515111,19169880
12,649388,1297858,290804,119665,2655664,19654220,506721,168331,4207051,5705990
12,647967,1294991,278583,119214,2822759,18204254,818104,1062378,4346845,4746757
12,658130,1315376,276650,122891,3455328,17018924,844765,1050465,4399844,19988730
12,658560,1316195,256239,115848,2652638,9892463,790535,858895,4705508,16931761
12,665310,1329721,271411,120146,2847165,18468120,848407,1064321,4651187,6468685
12,663085,1325223,254492,120702,2457842,4969856,773893,1045065,4545549,5140768
12,656232,1311570,260546,117551,2500523,16487115,771070,1061165,4085663,5364758
12,646683,1292462,275108,115897,2837857,19675891,775492,750301,4651768,5134355
12,657515,1314167,275683,121648,2198825,17679447,867030,1063980,4605300,19493779
12,652251,1303616,255049,113133,2064403,19049934,770450,1039870,4676935,12639930
12,673130,1345332,256145,110398,2722129,17864535,900373,1069942,4745514,12135041
12,647083,1293226,291343,118793,3310997,19502265,799566,1036935,4392570,5031983
12,657479,1314070,271187,117842,2689768,19321454,832752,1038994,4477219,5993100
12,667956,1335014,253283,118683,2615909,15609654,864706,1063931,4725065,19036178
12,658812,1316733,256936,119134,2027693,18409330,770608,930795,4592687,5571217
12,664878,1328527,262288,124554,2052280,17791247,820703,1037622,4867604,19256252
12,652035,1302733,290959,119850,2512865,19604017,824576,684347,4543284,18562658
12,665234,1329479,276672,127324,2840161,16677362,768174,665251,4704417,19339649
12,660361,1319745,263546,129929,2388462,5415204,842661,1060344,4050817,19209775
12,667222,1333543,273682,122114,2061546,19540266,864028,1052744,4964836,19153148
12,653471,1306005,259140,130656,2127822,16003685,724049,507840,4092346,4929841
12,662764,1324589,270351,131978,2265981,18529245,838306,1060414,4719255,5121742
12,654534,1308145,267578,120536,2655012,15418204,772863,544844,4976057,13598512
12,652117,1303364,257097,123442,2589390,5938617,748035,1059683,3889765,4608026
12,652161,1303454,270370,124865,2878283,17279735,799084,1066680,4045257,5064484
12,658989,1317100,279861,118714,3046038,18844308,826541,1066586,4777435,6086365
12,651859,1302844,278469,125861,2271832,19092294,796850,1055199,4423258,5541100
12,661437,1321991,256314,123823,2452261,7168491,774167,576534,4743892,5096704
12,652473,1304062,248172,119334,2150063,16345869,1096803,1068774,18805976,19723310
12,649131,1297393,268281,129318,2241645,17620897,756730,858334,4364487,5163340
12,661549,1321846,254454,128611,2047260,4958645,802887,824059,4529367,5778065
12,656455,1312068,269082,122250,2584641,18722829,740554,766226,4116652,4532373
12,658720,1316300,261699,126758,2709416,5652259,753717,1042510,4945219,5058272
12,664612,1327827,273939,129684,2730855,7373456,709888,522553,2999941,5128595
12,671539,1342133,255796,123533,2293774,4682957,850004,1058160,4662728,5143472
12,661199,1321455,258888,126328,2713773,4743741,759021,659560,3897860,18652998
12,653393,1305868,266778,124093,2240092,18112031,876099,1054478,4950659,11961374
12,661905,1322890,264287,122841,2460508,8798275,815702,1048381,4902339,19104096
12,634385,1267921,283115,125311,2849088,12926899,797219,1069631,4264219,4992509
12,660963,1321075,269740,129563,2909833,4794777,812365,1058871,4803874,8745466
