threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
7,160603,286667,1856640,42029,1176486,635974820,158339,46647,6236335,6236335
10,1002317,1409676,203061,71023,2810961,9752328,228157,84288,3073543,8538261
10,628010,1214918,281983,74870,4414167,18187385,331196,96861,4954631,8630494
12,783924,1334105,275380,113814,4058781,9033109,238114,128812,3551450,7269602
12,643720,1284880,273416,121037,3099953,8156806,322154,132533,4202030,17843050
12,635925,1269589,327897,122119,4168106,19118271,366551,133124,3826586,20015974
12,636639,1271049,296646,120215,4087314,17978223,401618,141440,4422062,16979069
12,583534,1164986,354422,79950,7895476,19294090,222302,91351,4390594,8615185
12,621081,1240064,304468,112762,3859548,19537366,252069,123912,2079660,6093887
12,627118,1252015,305710,105157,4101772,19164859,394257,120405,4684314,19314509
12,628933,1255621,323495,119825,4044174,20044678,255865,135324,2201749,4144843
12,628409,1254588,324728,105442,4076524,19877053,329259,128351,3323012,19933580
12,646675,1291062,292159,119965,3362155,19384620,316624,140058,1757706,19235792
12,633212,1264779,292761,113989,3852083,16937221,290716,134442,1878783,17180837
12,637497,1273894,274736,116458,2924825,18042434,783497,224265,4798648,19392485
12,631336,1261556,294155,108132,4058972,18969481,749269,750698,3950388,13009776
12,635261,1269450,271630,113368,2795312,19356437,881938,1044083,5239094,19569768
12,655833,1310524,256444,122023,2580690,5537414,737731,602595,4216898,4613381
12,623742,1246413,276287,107882,2949210,19397254,794526,1035902,4844705,7096718
12,632051,1263036,265554,114225,3462483,15970839,883247,1042715,4784422,19393687
12,643078,1285094,293694,111549,3493751,19050814,896206,1048006,5049659,19449512
12,628929,1256788,281921,106685,2985669,19693260,776582,1046652,4074881,4804680
12,627240,1253436,274261,100799,3573241,19901660,789863,1030072,4709161,16723109
12,637228,1273389,282588,110222,2566993,18619245,785624,1033543,4180449,20433577
12,627064,1253054,260046,105543,3521905,19051556,866206,1049037,4802365,6180229
12,636915,1273085,259347,116148,2966112,6886775,753729,1036859,4508674,5613938
12,633733,1266614,275800,114815,2707217,17569326,796682,1047153,4567866,5003222
12,629447,1258028,268059,116348,3282415,18407969,800671,1043086,4646764,6054374
12,637662,1274497,281705,103609,3261526,18751383,815431,1042475,5001188,10520418
12,622917,1244863,288154,107070,3905584,19571200,817388,1035181,5758489,19711684
