threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,114102,56591,9006,7424,32280,127296,40155,27721,396627,396627
1,91873,45926,13739,7559,243993,693308,49765,30887,478750,478750
1,97206,48592,14290,7935,151221,500069,66761,29991,947681,947681
1,142287,71135,9631,7534,58789,148146,45863,30206,449896,560392
1,29886,14941,20344,7774,600305,720830,1294355,226831,8736091,8736091
1,146032,73010,10147,7655,52688,379865,80725,28457,164315,4378965
1,91095,45541,12480,7544,114603,941529,120243,26604,4442624,4442624
1,101728,50860,13603,7784,150920,450487,61637,31438,575799,575799
1,157054,78519,9394,7504,50874,222674,32551,27281,91139,112769
1,56713,28352,21778,7655,352304,1106906,120755,33682,1015817,1015817
1,145487,72739,14223,7644,46126,261867,38129,31499,94065,101649
1,94360,47174,21410,7594,106077,8020432,110602,29354,5488587,5488587
1,78533,39262,15938,7789,185495,822068,121755,33001,4431013,4431013
1,151747,75868,9485,7494,50414,162421,36997,30546,137065,157643
1,50149,25071,31887,7599,339341,5242530,351934,29830,5665406,5665406
1,133953,66970,11236,7534,70311,347987,33411,29836,76843,140641
1,106470,53230,11212,7584,113621,466326,60269,32746,546325,546325
1,89479,44734,16501,7834,233393,829892,57068,31674,501282,501282
1,153319,76651,14366,7484,44152,493536,32032,27651,85258,97571
1,35069,17532,16955,7629,225138,361321,296582,27071,3653979,3653979
1,124749,62369,11512,7674,103021,298554,44369,33813,293685,293685
1,102807,51397,11652,7544,112238,404722,51667,28042,370008,370008
1,74578,37286,16667,7719,192828,2781738,151432,38962,4549543,4549543
1,146856,73421,9397,7524,38893,227683,36056,28653,97651,160247
1,53787,26889,19043,7594,315145,699990,777556,36027,12787408,12787408
1,121269,60631,11006,7704,88935,242821,63673,31879,1872509,1872509
1,97225,48607,10311,7564,62456,353637,35162,29980,96880,96880
1,51841,25917,32260,7819,278938,8061267,249584,51035,5080770,5080770
1,129712,64852,10585,7644,43661,310687,35457,33537,79998,79998
1,39371,19683,38435,7559,281713,8011816,614365,36177,5803723,5803723
1,11743,5870,26368,8475,566743,568647,64700,43341,129190,129190
