threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,4464008,2231587,100416,18104,1047450,8239178,582007,148067,8693076,20747804
12,3353934,1672066,152929,14077,5587706,13681502,1063192,69019,17731570,39887959
12,5762279,2875171,102555,17623,931182,10470502,624181,159669,10366117,19226127
12,4531721,2257811,116077,15814,2211939,11159943,823760,100999,13117767,28319703
12,5121041,2553679,104859,16531,1036269,10865041,750351,157164,12816963,24013635
12,5528772,2756001,100054,16872,1109797,8444882,635519,117965,10622237,27553879
12,4589709,2287027,121731,15649,1967962,12931618,820699,97142,12230686,30168882
12,6232616,3107756,87444,17313,837167,7232214,628533,134332,8153096,51498585
12,4068114,2026580,136147,14548,4427294,12366140,788144,68258,12376159,19643667
12,6275970,3130548,83722,17734,797752,7143467,592704,130835,7256018,14811896
12,4773381,2377939,109633,15469,2327816,9452648,776517,77655,12655782,27801613
12,5416168,2700361,98895,16461,1164669,8368289,682520,113412,10453370,22160557
12,5806186,2893566,92781,16821,1072256,8057858,604158,108143,9358642,22903558
12,4994374,2488812,109579,15749,1808394,10089960,756351,83411,11489690,47602565
12,6220439,3100835,84086,17182,848848,7076291,531064,115667,7953653,28970260
12,5026052,2503377,106713,15509,2019809,10825888,723858,76203,11555052,29051331
12,5661806,2822584,87926,16651,933427,7591355,637504,105803,10025009,19987491
12,5447679,2714607,101366,16261,1336531,8789367,677776,94998,10325902,18823152
12,5076384,2529835,105513,15719,1780271,9169658,678380,84448,10972381,16757898
12,5949624,2966040,94404,17022,988229,8313717,579657,106284,9346780,17904313
12,4818417,2400618,115534,15268,2884417,10657603,740256,76403,11764153,28686810
12,5870674,2926695,90347,16742,1029938,7590484,628132,101439,9564407,26331001
12,5115285,2548879,103995,15669,2025621,9555892,674092,83246,10697818,19849082
12,5515788,2749551,96137,16271,1226976,8108202,641519,95458,10009259,19377590
12,5774797,2877766,91674,16390,1138610,7466541,627992,93595,9687748,23544016
12,5202844,2592802,99575,15779,1570669,8466683,647435,82274,10442069,16778266
12,5772448,2877369,95923,16371,1131848,8858095,601217,93515,9152637,25718725
12,5449401,2715180,100878,15949,1672159,8445774,641982,83315,9736809,16512839
12,5436911,2710006,98139,15920,1373029,9038644,660537,92037,9934670,25112861
12,5815147,2898334,90788,16431,1094809,8058239,622299,97382,8963342,15636830
12,738719,368054,97683,15780,1905596,8343302,730029,71704,12156167,14393193
