threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,202955,101458,7006,6933,8937,11442,21294,18976,36188,243336
1,243092,121513,7120,7043,9057,12123,19924,19146,30848,32631
1,245084,122507,7026,6973,8997,10059,20012,19407,32491,33613
1,247834,123894,7055,6983,8926,11081,20194,19536,27892,31809
1,247495,123729,7092,7003,9147,11191,20116,19577,30748,31369
1,246225,123091,7075,7013,8896,10179,20036,19431,30066,30317
1,246223,123089,7092,6993,9238,11682,20250,19447,33452,46688
1,245661,122813,7120,7033,9107,10971,20436,19747,30968,31679
1,245889,122923,7077,7003,9197,11411,20181,19451,33252,42920
1,243619,121787,7582,6933,8987,12834,19876,19477,28283,28423
1,244874,122419,7048,6978,8916,10169,19988,19556,25458,93986
1,245553,122754,7124,7063,9097,10099,20158,19697,29806,30948
1,246883,123419,7124,7043,9167,10229,20080,19497,27101,34535
1,242059,121012,7138,7028,9367,12113,20089,19326,29615,30447
1,244242,122099,7173,7103,9197,11471,20169,19667,29204,40436
1,243947,121951,7091,7023,9067,10349,20306,19657,32291,32300
1,245664,122814,7116,7053,9107,12444,20166,19466,29355,30607
1,245593,122774,7089,7004,9017,11061,20212,19717,31699,33323
1,246245,123100,7054,6973,9057,10410,19922,19396,28453,29585
1,246693,123328,7115,7043,9377,11582,20130,19466,38362,46317
1,245157,122557,7075,6984,9317,13035,20218,19506,30317,32010
1,246241,123098,7149,7063,9197,12404,20600,20138,36028,45495
1,246286,123125,7096,7013,9097,13155,19778,19206,31720,37521
1,246075,123016,7075,7003,9037,10910,20211,19717,30948,31840
1,245505,122730,7095,7043,9117,10449,19903,19166,30447,30607
1,246141,123053,7125,7043,9247,12173,20360,19571,33393,43492
1,245762,122859,7121,7063,9107,11071,20169,19266,31329,33463
1,245163,122559,7054,6963,9207,12353,20032,19491,29585,30978
1,246590,123277,7004,6933,8997,11011,19988,19542,27993,28082
1,245517,122737,7152,7094,9268,10960,19754,19176,27772,30047
1,35797,17895,7057,6983,9017,10350,19379,18735,24526,24526
