threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,105603,52581,12092,7228,21971,3182902,25896,24546,47639,47639
1,142359,71163,21177,7555,21670,4013812,26572,25543,38472,41187
1,132240,66103,9136,7564,19998,24546,71058,24887,4027037,4027037
1,139476,69728,8688,7424,18375,25568,25111,24346,36829,39043
1,138604,69294,8776,7444,20038,22272,74743,25944,47589,5112684
1,149236,74608,12969,7464,20478,1500886,25674,24020,40537,41558
1,168293,84134,9814,7123,9517,49643,25331,24195,38703,46919
1,175509,87744,12296,7303,9618,4009244,26508,25057,44383,56757
1,162446,81210,10017,7154,9298,39214,25355,24165,38583,41748
1,171516,85745,7403,7283,9498,40315,65527,25252,570451,4032307
1,157154,78567,15649,7194,9337,4015515,25488,24141,44173,44303
1,168143,84059,9025,7113,9388,36678,29632,25879,59331,419157
1,160308,80142,7418,7314,9748,17322,25319,24546,39273,41238
1,153235,76608,7202,7093,9308,14437,26450,24446,48541,54673
1,150316,75147,15850,7214,9157,4012059,26004,23975,49803,68479
1,154152,77064,12913,7203,9608,4012660,26407,24340,43502,91021
1,160645,80313,7390,7314,9288,11031,25843,24240,41969,42680
1,162386,81180,7269,7194,9167,13555,25634,24385,43361,84178
1,152003,75990,12480,7184,9588,3172954,25416,24140,41669,57278
1,152470,76226,7339,7264,9458,18324,25570,24045,42880,47569
1,152192,76085,7400,7273,9778,19176,26004,24506,45235,48971
1,151398,75687,7273,7213,9217,17623,25798,24446,39123,39764
1,153839,76911,7300,7164,9217,18204,25158,23515,40637,54131
1,153498,76737,10201,7264,9598,23124,57812,23849,41688,4699720
1,156870,78423,10011,7183,9719,44153,64179,25268,54683,4014103
1,169684,84832,7417,7234,9428,100167,55856,23940,142537,4025985
1,171094,85534,10006,7324,9909,108543,25058,24326,39074,74520
1,168053,84014,12458,7253,9718,3202099,24805,23574,39764,40767
1,164324,82152,9897,7133,9517,56025,25279,24330,38473,54753
1,178565,89269,10244,7184,9809,827443,53752,24376,51416,4033359
1,42021,21006,7281,7279,9067,9358,24444,23970,31710,31710
