threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,4473487,2236228,102190,17804,1278087,8146501,552232,137283,8785605,17105353
12,3680883,1834939,141622,14608,4829385,13709097,1079895,93310,16128733,31193964
12,5412548,2700028,103070,17864,990736,8212256,652674,164364,11851418,23233202
12,4928927,2456943,109582,16571,1430965,10667620,775427,133907,13298914,26049326
12,4644403,2316009,105927,16646,1275452,10418640,854343,130906,13802132,20817464
12,6165037,3074603,90796,18334,865150,6653930,603649,163688,8430556,23554679
12,4356189,2170624,124774,15610,4283778,11286485,811475,87665,11706486,30937883
12,5848636,2917912,92908,18495,830865,8094143,571391,144853,8486432,16927077
12,5422253,2702509,103368,17253,1710832,9399771,692291,118393,10370951,27184794
12,5022536,2503755,106896,16962,2886857,9680771,743268,106105,11120282,34302148
12,6152710,3068283,91378,18154,817148,7717574,550116,134584,6822959,13886220
12,5317326,2649891,99264,17132,1274630,9477669,635053,99577,10513008,21984962
12,5302709,2643685,106212,17002,2774485,9295295,751989,113478,10076717,33316311
12,6115143,3049155,89764,18104,846765,7026752,556137,129990,7648254,18844388
12,5264678,2623661,101355,16722,2576552,8897807,641101,95309,10263599,19098396
12,5473680,2728999,94626,17032,976569,8772410,613177,114376,9402998,19101492
12,6005457,2994197,87460,17794,876070,6868625,590666,119145,8948392,15952842
12,5162887,2573171,97629,16281,2322684,8642796,746645,94763,10800870,23830216
12,5827368,2905525,92516,17382,1025782,7088108,611930,120126,9440669,22863787
12,5658010,2820392,98174,17312,2122548,9160070,598284,98205,8527940,16432857
12,5391649,2687708,101038,16471,2697790,8587131,647213,102042,9622772,17912964
12,5972662,2977711,92891,17674,968083,8053767,605082,115948,9174508,18476955
12,5570780,2776766,92773,16696,1531525,8057975,650470,96246,10046810,21539974
12,5520139,2751827,96842,16802,1883778,8378849,675305,99658,9474783,14591068
12,5814732,2898677,89156,17353,977571,7981290,636071,107392,9378512,30730422
12,5513370,2748274,99541,16772,2343854,8592491,657291,96577,9614646,25589410
12,5732202,2857682,96366,17083,1290491,8742183,597363,98105,8595457,13433789
12,5792395,2887006,92889,17163,1085344,7861655,620774,106981,9613715,21598634
12,5528492,2755769,97457,16731,2062684,8479679,644877,95900,9701750,22641188
12,5682331,2832799,96532,17162,1617987,8139458,606462,105288,8630072,15933876
12,602861,300497,104699,16972,4050247,8774855,717068,82080,10738142,27530155
