threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,63599,31795,27226,25577,52337,85239,30487,28433,56555,56555
1,65329,32657,28060,26113,66243,108011,31857,29580,55834,55834
1,34219,17105,65291,27582,1154853,1331984,36852,30070,74509,74509
1,65617,32805,29522,27051,68618,189202,35036,28844,82173,82173
1,69843,34919,27994,25778,60001,98123,31668,28192,81421,81421
1,53696,26845,29931,25869,59651,1078281,90260,31663,1087307,1087307
1,36310,18153,67317,29941,1119828,1194718,80486,32451,1229503,1229503
1,68133,34064,28768,26900,75661,111719,34100,31393,97953,97953
1,69677,34835,28553,26019,54091,294038,32821,29795,68688,68688
1,40103,20049,56706,26900,1112043,1172897,32124,29365,57477,57477
1,38737,19367,40125,30086,122619,1148331,62544,33954,1093499,1093499
1,70729,35361,27910,25788,64520,221824,30498,28373,58789,58789
1,69826,34909,28454,26139,68478,217225,34920,29896,205704,205704
1,36561,18279,68861,26830,1115329,1172907,33741,31970,60934,60934
1,60953,30473,32335,27532,89256,1011336,33551,30782,76212,76212
1,70935,35464,27574,25678,57226,74860,31831,29625,59220,59220
1,68761,34378,28588,25968,69489,139009,30461,28392,67365,67365
1,33161,16578,48967,25853,1032795,1107755,153889,34905,1079974,1079974
1,64948,32471,29930,27251,78937,131766,31932,30997,75100,75100
1,70652,35323,30314,26605,62837,923091,32758,30557,59601,59601
1,59576,29785,31170,26790,106008,1017377,31036,30015,46337,46337
1,28042,14019,56180,28823,1097337,1137341,39049,32971,77024,77024
1,65946,32971,29754,26470,73277,180817,30195,29094,51906,51906
1,69960,34976,27901,25798,55473,108662,30284,27792,61795,61795
1,48167,24081,41592,25327,1018960,1127011,32670,30217,73347,73347
1,43783,21890,50199,28583,1005305,1259909,36236,33427,65773,65773
1,70387,35191,26841,25037,54060,82224,30970,29264,56726,56726
1,69972,34983,27224,25302,58009,140212,33613,29986,98924,98924
1,43042,21519,41796,25888,1021054,1158020,32587,29845,58349,58349
1,56478,28237,37926,27211,146263,1134165,31598,29555,90980,90980
1,8378,4188,25964,23404,72275,72275,23624,25488,26550,26550
