threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1625524,812587,359819,97864,4883690,31788335,464733,115693,6451284,41637699
12,1619956,809063,470166,91532,6408242,59159989,475704,108625,6611916,60976781
12,1880013,938973,472240,89313,6708157,64866559,433718,103189,6501988,57956342
12,2475076,1236167,277510,82866,4816494,7566044,306372,96953,4950877,7687913
12,2486563,1241533,308661,83367,5140354,8181022,313815,98336,5115366,7558269
12,2484491,1240503,311542,84444,5638392,7771561,305266,98114,5054532,7688154
12,2487253,1241791,301818,83758,5123843,7421140,325983,97063,5315052,7733589
12,2485669,1241134,294127,84740,5112411,7359304,301153,100795,4820732,7397305
12,2488410,1242515,317998,83688,5968313,7834820,322103,99122,5292551,7709544
12,2466272,1231487,327079,81248,6389808,8020320,313839,96722,5524307,8026791
12,2472485,1234803,290157,83632,4894822,7588976,328331,97334,5409982,7841071
12,2480533,1238718,293577,86182,4869293,7390423,320728,100650,4967247,7640774
12,2488668,1242740,287621,83176,4884262,7685278,312889,99693,5139552,7652987
12,2502936,1249967,309967,84960,4940598,7591862,312957,99147,4974351,7852783
12,2474873,1235883,298280,82886,5897991,7763215,314905,97859,5365979,7980464
12,2470744,1233793,298872,83106,4966095,7388088,303023,96657,4998487,7425268
12,2461100,1229082,281567,82906,4892617,7657506,327477,96111,5854930,7828518
12,2473696,1235315,309652,82566,5636338,7873442,316331,97764,5269277,8182815
12,2466762,1231812,303586,83578,5234471,7540996,315071,97654,4964903,7694906
12,2472292,1234663,307104,83437,5066825,7592032,313118,97944,5050113,7664909
12,2463987,1230457,287225,83107,4812987,7427112,310851,97964,4796405,7503495
12,2473854,1235366,300302,82715,5387710,7843636,306976,96542,5338978,7785276
12,2474542,1235766,322532,84630,5782834,7812738,309061,96211,5668048,7816746
12,2471863,1234374,287475,84383,4968981,7728349,319105,98921,5381779,7726927
12,2467110,1231977,304767,83377,5115637,7805725,304547,95770,5655644,8272254
12,2471305,1234215,292814,83026,5388150,7788342,312450,97468,5294073,8204135
12,2453707,1225353,290537,82896,4811073,7537049,319524,99187,5062227,7722749
12,2459011,1227956,288728,78628,6160035,8355441,322104,93386,6369960,8945972
12,2464012,1230587,298916,81414,5448163,7627239,320061,96011,5397438,7765099
12,2465903,1231451,295466,78708,6558355,7854326,316577,92434,6484677,8440731
12,142622,71220,332070,85381,5026419,6326318,307684,98260,5330803,8131759
