threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,6545839,3272266,61949,18825,787796,4789683,224428,54252,3685160,8173424
12,9518580,4740231,62258,61676,95951,113794,154791,153028,218141,371972
12,9709208,4825786,60426,59923,97453,163048,153531,150914,226878,643924
12,9652013,4797253,61059,60784,96482,128222,152953,151546,218722,422277
12,9630296,4787324,61148,60674,98415,146626,155403,151976,231266,739515
12,9808671,4875609,59177,57358,136247,283776,153182,146867,410233,1904351
12,9970180,4954985,55310,50164,194276,470187,165151,140295,787626,2950704
12,9620337,4781260,61350,60965,98756,124475,153853,152577,222700,318982
12,9800024,4871051,59714,58861,108245,237668,156736,149416,293493,1532089
12,10463520,5200384,49563,30267,224954,1018301,172490,102083,1214090,5869458
12,10536840,5201472,50818,29235,223522,892583,165863,103475,1048708,4723418
12,10644846,5248931,49984,30939,222169,968998,166270,104857,1047165,4169553
12,10001987,4941689,55022,48542,191661,459877,159414,135104,838511,2753532
12,10616817,5277370,48095,31058,220115,533847,166122,105609,1025423,4431367
12,10729362,5286307,48458,30121,224213,811470,158322,103520,1078063,3151824
12,10542551,5234557,47837,30658,220095,593649,163667,102874,1103771,4494345
12,10183712,5017796,56011,50575,182674,427687,156072,140214,549055,2633817
12,10506662,5221589,51816,31724,229783,1355015,171397,103826,1234127,5798064
12,10526811,5227179,49922,29796,227630,1206355,173950,103921,1262841,9776236
12,10146063,5000145,55959,50164,182674,420313,156543,140575,556479,2966704
12,9797057,4868856,58258,56857,137379,271051,156860,148160,415995,1883051
12,10576558,5256992,50335,34926,216258,601925,158469,111309,984306,2970983
12,10613891,5271908,49237,29125,228040,953208,160700,101651,1123208,2991020
12,10592524,5260560,49091,31269,220787,603338,162854,104737,1037737,3294974
12,10705925,5274215,48394,29566,223221,952115,158259,102498,1024221,3052426
12,9941917,4937791,56969,54773,164009,306438,160573,144888,483762,3040955
12,9540002,4742444,62002,61326,98876,119195,155545,153139,223061,313441
12,9491638,4718179,62231,61456,99388,122351,159276,153891,226507,543455
12,9888271,4916789,58162,56947,118083,255492,154974,146877,382220,1955949
12,9624937,4784587,56230,54924,133181,295087,156467,143145,371821,3391736
