threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
1,163046,81509,7864,7459,14217,21680,20246,19506,30257,38712
1,191271,95604,7698,7258,13845,21780,19830,18906,32070,37560
1,196176,98057,7775,7314,13114,15168,20843,19236,33933,325376
1,196882,98421,7754,7293,12874,19777,19873,19281,28423,35006
1,195621,97794,7671,7263,12864,18755,19366,18640,32210,35857
1,189752,94857,7780,7314,13536,18896,19799,18995,29645,34584
1,192198,96080,7785,7313,14267,17653,19964,18950,31279,36187
1,199392,99680,7711,7233,13425,20218,19581,18685,31779,64901
1,197234,98597,7785,7314,13645,20428,19825,19175,32120,39954
1,189715,94839,7823,7354,13465,19106,19906,18885,33442,48180
1,194220,97095,7718,7358,12513,14196,19798,19090,30697,35306
1,192924,96446,7869,7404,14057,16100,20116,19306,29875,31449
1,199640,99806,7850,7383,13916,19376,19790,19346,30387,36328
1,193551,96765,7761,7314,13626,15830,19588,18970,28353,32991
1,189360,94666,7850,7344,14528,17854,20008,19246,30316,33333
1,195307,97640,7779,7344,13345,20828,19646,18775,29846,32361
1,197769,98875,7755,7264,13646,19917,19973,19095,31578,62457
1,195387,97678,7862,7434,13535,18224,19791,18895,28493,30547
1,192389,96181,7667,7264,12984,17903,19612,18966,28924,47549
1,189932,94956,7793,7334,14046,18534,20248,19551,31689,35696
1,196853,98412,7775,7303,13345,18364,19808,19086,32080,42540
1,200928,100450,7645,7214,13425,16490,19983,19060,30577,32230
1,188297,94138,7789,7313,13355,18234,20099,19356,30808,42960
1,192087,96028,7699,7294,12894,15469,19693,19206,27842,34224
1,195033,97503,7757,7354,13114,15719,20146,19386,31499,34845
1,197546,98762,7809,7404,13705,17322,20061,19276,33252,36258
1,196048,98009,7708,7263,13315,22151,19816,19000,33032,42630
1,189282,94628,7784,7353,13415,16290,19788,18905,29646,32210
1,193269,96625,7759,7323,13355,15469,19823,19171,29495,32501
1,199764,99867,7593,7213,13094,18535,19369,18685,29685,32741
1,25559,12777,7627,7194,13646,16331,18254,17673,27231,27231
