threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,3914845,1956941,106232,38332,136226,25981024,383820,138230,1108263,63378782
12,98788,49283,4471262,11422,74691090,134479866,20964434,28734,141882356,143282707
12,5576184,2787358,92433,40617,139893,2157875,285960,145528,876016,65285665
12,10200985,5083717,47710,40226,137718,199505,184807,144371,841993,1794152
12,10243918,5092131,47271,38913,140124,273615,186617,141186,956728,2093093
12,10200324,5071676,46764,37080,145494,307709,189944,133621,1244869,2265297
12,10229519,5085614,46671,36799,146154,402026,187785,131643,1230913,2307867
12,10221288,5081704,46455,35597,151474,903598,191503,130626,1304071,2568537
12,10244737,5093707,46417,36338,148759,313368,187980,131667,1252524,2305512
12,10245563,5092844,46503,36038,149791,538552,189305,129834,1295475,2314459
12,10234535,5088216,46408,35467,151024,955255,191027,130340,1339326,2772800
12,10235906,5089237,46417,35467,152576,893490,190764,128041,1325821,2367338
12,10220521,5080763,46167,34846,153659,1213210,188727,125656,1431731,2687381
12,10227847,5086043,46105,35331,152317,788822,190536,128091,1403247,2551955
12,10233622,5087464,46237,34946,153148,1207258,188767,126538,1368061,2371497
12,10227172,5084934,46363,34485,156464,1294844,193108,122521,1459683,3148517
12,10194991,5068916,46141,34465,156555,1192401,191470,122090,1525887,3644218
12,10234349,5088837,45981,33663,159881,1564009,188628,118051,1644801,3769133
12,10234625,5087793,45900,33968,156845,1311765,192857,122500,1548841,3480882
12,10197417,5070775,46045,33924,157677,1446889,191056,119234,1615005,3141914
12,10176177,5058847,46191,34534,156163,1271119,191199,123577,1539913,3007943
12,10193579,5068394,46894,34615,157907,1697390,189729,122540,1495571,2605457
12,10200913,5071944,46742,34775,154610,1409499,191608,124635,1443572,3185666
12,10252769,5097877,45760,33433,159790,1580420,190806,117491,1590388,3072934
12,10247513,5092287,45992,33533,160552,1574509,192972,117115,1677002,3023322
12,10225681,5084605,45860,34165,158778,1262893,190304,121193,1569639,2988847
12,10220201,5080650,45550,34234,156775,1181140,190547,121569,1535455,3116256
12,10227648,5085102,46045,34525,156965,1030697,192839,125185,1448362,2489098
12,10228283,5085484,45392,33483,158067,1253606,191655,121068,1662915,3148958
12,10007028,4975654,45327,33944,154109,1291847,188537,118493,1619573,3243485
