threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2041088,4078440,70309,65613,93586,187542,0,0,0,0
12,2678892,5339069,71437,65604,91703,4069473,0,0,0,0
12,2692135,5361200,71781,65182,94718,4069482,0,0,0,0
12,2682164,5346425,70851,65473,90981,4067098,0,0,0,0
12,2694040,5370344,71620,65113,94618,4070685,0,0,0,0
12,2680211,5342489,71460,65483,91512,4067299,0,0,0,0
12,2685370,5353016,71609,65303,95590,4071797,0,0,0,0
12,2679617,5341425,70496,65493,90981,144612,0,0,0,0
12,2679211,5340890,70341,65683,94177,125226,0,0,0,0
12,2674968,5332383,71699,65473,90540,4071897,0,0,0,0
12,2682777,5347965,70387,65413,93716,4060706,0,0,0,0
12,2681065,5344558,71039,65363,90801,4066998,0,0,0,0
12,2691489,5365192,71116,65263,94387,4072258,0,0,0,0
12,2685031,5352335,70900,65393,90710,4066608,0,0,0,0
12,2692003,5366381,71088,65232,94598,4071046,0,0,0,0
12,2681283,5344847,70761,65473,90511,120396,0,0,0,0
12,2694127,5370759,70787,65313,93055,4065856,0,0,0,0
12,2683377,5349050,71265,65453,90670,4072438,0,0,0,0
12,2689960,5362225,73683,65303,93866,4076667,0,0,0,0
12,2685101,5194460,71018,65373,90029,4069724,0,0,0,0
12,2761798,5509840,70752,65313,93526,4066477,0,0,0,0
12,2675214,5337236,71537,65503,90440,4067529,0,0,0,0
12,2685509,5358256,72379,65403,94588,4071907,0,0,0,0
12,2678736,5344528,70483,65503,90871,108795,0,0,0,0
12,2681728,5330427,71034,65523,94077,4062209,0,0,0,0
12,2685738,5358398,71843,65523,91492,4070264,0,0,0,0
12,2685739,5358754,71221,65262,95620,4066156,0,0,0,0
12,2675438,5338223,72012,65443,90831,4073561,0,0,0,0
12,2684814,5357023,69964,65333,94698,123342,0,0,0,0
12,2670843,5328760,71066,65483,90721,4063692,0,0,0,0
12,2689482,5365749,71387,65193,94608,4069383,0,0,0,0
12,2680689,5348122,71559,65473,91282,4069984,0,0,0,0
12,2684092,5355328,70460,65484,93485,4067990,0,0,0,0
12,2680207,5347556,71031,65463,90681,4067429,0,0,0,0
12,2690079,5325234,71758,65273,94307,4070174,0,0,0,0
12,2700628,5388288,71923,65353,90430,4071607,0,0,0,0
12,2689311,5365666,72647,65283,94358,4074963,0,0,0,0
12,2681935,5350925,70044,65423,90230,110067,0,0,0,0
12,2688890,5364941,71182,65363,94087,4068841,0,0,0,0
12,2680751,5327673,72299,65453,91412,4073370,0,0,0,0
12,2696613,5380319,71989,65423,93176,4072329,0,0,0,0
12,2678443,5343933,71024,65523,90289,4067920,0,0,0,0
12,2689941,5366836,70122,65313,94518,123933,0,0,0,0
12,2679103,5344922,72499,65403,90620,4073851,0,0,0,0
12,2687804,5342141,71586,65293,93726,4071005,0,0,0,0
12,2689059,5364820,71378,65493,90671,4068370,0,0,0,0
12,2680842,5348355,71197,65423,95299,4068140,0,0,0,0
12,2680795,5348912,70801,65413,90521,110959,0,0,0,0
12,2680216,5347272,70451,65573,93646,126829,0,0,0,0
12,2678099,5343081,71569,65413,90840,4072849,0,0,0,0
12,2686148,5359301,71811,65323,94557,4070765,0,0,0,0
12,2679844,5346795,72345,65343,91211,4071066,0,0,0,0
12,2682421,5352160,71347,65463,93416,4069593,0,0,0,0
12,2678435,5344254,71525,65513,91001,4070455,0,0,0,0
12,2686796,5355595,73011,65343,95309,4075424,0,0,0,0
12,2680673,5348633,71841,65443,90791,4070846,0,0,0,0
12,2679129,5345339,70481,65613,93566,4061107,0,0,0,0
12,2676600,5340405,72571,65513,91091,4074442,0,0,0,0
12,2682069,5351546,70997,65463,94538,4066276,0,0,0,0
12,2673831,5319593,71399,65423,90030,4071597,0,0,0,0
12,2690813,5368582,71027,65413,94628,4065526,0,0,0,0
12,2676462,5340275,70443,65443,91071,116449,0,0,0,0
12,2686210,5359321,70349,65343,94628,129984,0,0,0,0
12,2673821,5334613,70684,65543,90670,118533,0,0,0,0
12,2683676,5333660,72191,65493,94187,4069964,0,0,0,0
12,2686850,5359367,73431,65474,90721,4076797,0,0,0,0
12,2688124,5363313,70884,65403,94648,4066627,0,0,0,0
12,2678254,5343970,70818,65363,90460,4066788,0,0,0,0
12,2686259,5359741,72135,65373,95520,4072187,0,0,0,0
12,2681436,5349910,70456,65403,90450,121177,0,0,0,0
12,2688122,5363020,69644,65323,94207,120607,0,0,0,0
12,2678018,5343034,71028,65443,90680,4062189,0,0,0,0
12,2684081,5355450,69700,65624,93155,118523,0,0,0,0
12,2681226,5349971,71103,65493,90661,4066959,0,0,0,0
12,2688017,5363320,70858,65312,93576,4066367,0,0,0,0
12,2678916,5345132,71662,65443,90840,4068531,0,0,0,0
12,2688034,5363499,71640,65223,93967,4072369,0,0,0,0
12,2682227,5351759,70289,65473,90880,114545,0,0,0,0
12,2689674,5366471,71181,65262,93826,4067379,0,0,0,0
12,2677064,5320596,71970,65444,90280,4072539,0,0,0,0
12,2693476,5373989,71006,65613,94257,4065675,0,0,0,0
12,2673865,5335083,71170,65584,90750,4065235,0,0,0,0
12,2682288,5351671,73486,65453,93877,4073710,0,0,0,0
12,2677537,5342476,69994,65383,90310,108264,0,0,0,0
12,2684732,5335053,71682,65453,94487,4070885,0,0,0,0
12,2687885,5363048,71667,65493,91132,4072288,0,0,0,0
12,2686002,5359029,70813,65403,95129,4069512,0,0,0,0
12,2675673,5338693,71089,65494,90881,4063672,0,0,0,0
12,2681103,5349480,70915,65553,93806,4060476,0,0,0,0
12,2670782,5328938,72238,65633,91151,4069102,0,0,0,0
12,2681378,5349809,72649,65403,94508,4071797,0,0,0,0
12,2678413,5343791,71174,65423,90270,4066858,0,0,0,0
12,2684676,5356310,70989,65233,94648,4067780,0,0,0,0
12,2676905,5341109,71811,65493,90400,4070975,0,0,0,0
12,2681559,5350141,70705,65352,93927,4059935,0,0,0,0
12,2675210,5337561,71988,65493,91432,4069162,0,0,0,0
12,2681247,5332668,72115,65473,94728,4069874,0,0,0,0
12,2681927,5351116,70832,65608,90600,4061257,0,0,0,0
12,2684783,5357064,71265,65373,94067,4056599,0,0,0,0
12,2668431,5324297,72214,65573,90810,4071407,0,0,0,0
12,2683032,5353291,71591,65393,95280,4067880,0,0,0,0
12,2674216,5313716,71798,65603,91582,4069453,0,0,0,0
12,2695518,5378300,70115,65283,93676,126017,0,0,0,0
12,2676763,5340841,69968,65493,90690,107081,0,0,0,0
12,2682716,5352807,71034,65584,93186,4067089,0,0,0,0
12,2680945,5349158,72122,65493,91632,4069963,0,0,0,0
12,2686264,5359966,71607,65353,94538,4073400,0,0,0,0
12,2679095,5345420,72306,65423,90310,4071346,0,0,0,0
12,2687316,5361825,71348,65343,95069,4072228,0,0,0,0
12,2679378,5319377,70686,65433,90390,114595,0,0,0,0
12,2699741,5386669,69628,65332,93586,120978,0,0,0,0
12,2682651,5352517,69851,65333,90290,109145,0,0,0,0
12,2684594,5356515,69686,65413,93476,118984,0,0,0,0
12,2675219,5303344,73806,65603,90651,4073700,0,0,0,0
12,2706704,5370447,72728,65303,94688,4072148,0,0,0,0
12,2700065,5387047,69668,65283,89147,111088,0,0,0,0
12,2688463,5364032,71803,65343,94217,4066397,0,0,0,0
12,2681601,5346310,71933,65393,91111,4067679,0,0,0,0
12,2692176,5372171,70951,65283,94348,4068491,0,0,0,0
12,2677240,5338536,70305,65092,89949,4070425,0,0,0,0
10,471648,940977,46792,45635,77085,95440,0,0,0,0
