threads,samples,fairness,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
6,1393449,0.9457250810100322,696628.9061432979,0,0,0,0,49373,29425,154219,372439
6,1507625,0.9588532999671557,698429.9434314435,0,0,0,0,51595,31660,195808,1377397
6,1458560,0.9578432178977951,670728.2316995508,0,0,0,0,53486,32300,186681,2676346
6,1489060,0.9693399541532673,688401.3520293905,0,0,0,0,52135,32571,188985,1293539
6,1332470,0.9559270578386769,616237.6556372548,0,0,0,0,58209,32401,180219,5869412
6,1353036,0.9504746894401761,631388.8422704347,0,0,0,0,56803,33303,187122,5843894
6,1369090,0.9633526573551676,637700.7196365217,0,0,0,0,56455,32802,193403,2524431
6,1513999,0.959124987418996,703987.6567391192,0,0,0,0,50813,33022,177463,355358
6,1523633,0.9783999496138449,700789.1474724803,0,0,0,0,51329,32992,175851,353854
6,1515233,0.9722480447946064,696948.2221948241,0,0,0,0,51418,33132,177944,369173
6,813805,0.9628277399274036,376085.59121610166,0,0,0,0,95521,34114,223329,12267917
6,1479307,0.9527227707719808,709310.3569764963,0,0,0,0,50576,33372,179407,360617
6,1541651,0.9638349565563364,712608.5194392952,0,0,0,0,50369,33393,178856,356810
6,1244262,0.9551815082612103,571156.3928427333,0,0,0,0,63002,33513,200467,4993347
6,1434510,0.9670280660696607,672369.4494428674,0,0,0,0,53267,33744,186380,428184
6,1542164,0.9589103108068862,714864.4429230824,0,0,0,0,50251,33503,180599,363542
6,1561018,0.9761594340990246,718770.1211297223,0,0,0,0,49934,33844,184256,369634
6,1534057,0.9363885316768096,703643.4359216793,0,0,0,0,50909,33644,182002,363783
6,1545820,0.9544994321382234,710230.3446609906,0,0,0,0,50589,33744,182953,363142
6,1537061,0.9646249180639913,706197.1676794403,0,0,0,0,50851,33923,184837,370185
6,727508,0.9607732476382018,334364.9688294638,0,0,0,0,106745,34355,210245,21975447
6,839589,0.9705664002290532,403839.77155275573,0,0,0,0,89628,34655,206147,21759842
6,1467986,0.9461133722492925,701971.3427823756,0,0,0,0,51054,34184,187442,369734
6,1545789,0.9597582781690674,715165.1259322634,0,0,0,0,50131,34094,186450,374113
6,1565412,0.9632710327697742,719807.043530602,0,0,0,0,49918,34244,187672,366428
6,1536129,0.9686435271474771,705519.893356396,0,0,0,0,50763,34264,188133,371187
6,1519555,0.9831295529414347,698275.8218009735,0,0,0,0,51427,34014,185568,364845
6,1413502,0.9732907529416741,650498.848314703,0,0,0,0,50989,34254,187813,379393
