threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1061926,518271,309575,16506,641741,9025011,1528483,429018,6336138,73049236
12,1399290,699130,140683,15920,751727,5067043,942716,448069,6024826,15398088
12,1400390,699646,134508,17738,604070,8039817,993897,456620,5728872,23954803
12,1374454,686737,145585,16325,807661,7400601,995773,430836,7149791,28728567
12,1375265,687124,151964,15789,2199707,8096433,955949,414155,6890436,14671328
12,1390835,694883,127895,16826,650618,5456492,925446,445263,5722159,14167695
12,1401145,700075,126639,18194,641801,6012212,933449,466258,5582217,41979457
12,1402048,700497,133817,16130,615813,5742217,955120,446966,5994890,36423779
12,1404994,701947,134062,19331,609641,4624215,933642,475254,5449700,12270776
12,1403094,701043,130943,15338,613889,5676373,1028825,466578,5612935,85165503
12,1383321,691139,138677,15218,814214,8003760,975655,449656,6211305,24277858
12,1406114,702514,138131,17633,665185,6727170,887423,463598,5294539,12022441
12,1380505,689755,138847,16927,691203,8467628,964136,458498,6447316,15616788
12,1393344,696153,136787,17794,667158,6531524,1028771,458372,6014957,70558775
12,1391273,695095,169521,16546,1956181,8033035,980662,462655,6004087,27565460
12,1354150,676598,137487,16170,848107,7143990,973086,435294,6093615,21620825
12,97138,48533,2463397,12804,195451579,212768960,13665277,143874,220101433,433143633
12,43286,21640,5538787,8355,209999186,210248743,31140714,191448,216578670,336393209
12,42296,21146,10767804,8791,225431739,229782471,24662550,62557,228765287,241130489
12,36762,18379,10284942,8286,217758067,337044729,34705544,60203,334574255,347366667
12,34918,17457,14991104,8275,232999773,235675280,26611746,68999,233251433,262074067
12,24918,12458,15666067,8145,219991948,350054878,36079885,50770,271687549,584683499
12,21442,10720,15479787,8145,203687072,540394870,57208427,52347,464741080,494562482
12,27689,13843,12487276,8135,224213508,259286600,47747577,57462,367141526,918853357
12,16666,8332,30076931,9047,275118630,275118630,106531094,16008871,864340283,864340283
12,20882,10440,3994026,7985,94325316,192203290,51279047,46507,445978054,537450609
12,21325,10662,14949944,8015,253148903,280626349,50351649,60403,345533767,422584371
12,18041,9020,10753204,7905,215980760,215980760,72260498,100813,572343874,572343874
12,18575,9287,15824570,8055,224616482,224616482,74246044,335773,462565007,462565007
12,22685,11342,15797211,8611,281064799,283454061,41897740,43596,461918226,462653272
12,8829,4414,14400421,7925,223437456,223437456,35360231,32271,246180010,246180010
