threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,9278195,4521355,130301,32360,303930,4128243,235460,121178,1184093,15977664
12,10763717,5347872,63395,28333,342053,4057259,233132,152005,1041236,8126330
12,10790950,5361654,62088,27261,351019,4058391,237345,156253,926350,7111234
12,10718053,5326393,62994,28403,352201,4058371,234101,152737,1027319,8034077
12,10729679,5332928,61456,27371,348614,4054304,225646,150974,959912,4525558
12,10628382,5281948,62267,28403,351550,4057429,232488,151554,1005970,6260686
12,10661622,5299754,63095,27381,351711,4062339,259033,157445,1075359,15549901
12,10587972,5262634,64078,28243,370576,4060495,234619,155612,1067855,7341928
12,10612647,5274336,62071,27181,353774,4057600,254654,152046,1125233,16684261
12,10761535,5349550,63621,28433,344186,4061157,277438,156418,1025536,31488091
12,10619217,5278104,62483,27231,346150,4057870,232013,155662,967627,5189545
12,10685861,5310813,62647,28153,364936,4058531,254313,153688,1070070,13885284
12,10776710,5356977,62272,27251,354255,4056938,263951,154756,982886,25975649
12,10645040,5290701,62034,28063,349656,4057840,220893,149491,913976,4130536
12,10841883,5388213,61961,27411,340439,4054815,239058,154850,1016169,4409200
12,10806611,5370910,62596,28323,339137,4058562,238088,156253,1046926,14773573
12,2996007,1488940,159162,26900,365507,4122481,573024,155952,1188472,23009369
12,1119062,558668,769484,26099,490351,392442338,344763,154330,1957246,51408078
12,530046,264877,897665,24867,710525,406252281,3284648,152998,40824333,412651949
12,186034,92992,5066806,19667,395324160,447975442,13326179,87233,448699362,448699362
12,91242,45616,6694157,15404,425647754,446232490,19457488,54772,423097695,423097695
12,139036,69513,4935581,17808,399537262,447987164,13310873,102854,406982642,406982642
12,146594,73290,4852059,16626,415454933,429832121,12855953,75762,430598852,430598852
12,222358,111169,2633386,22432,6557594,447755729,14179309,147983,448423824,448423824
12,228291,114132,3259826,19377,7318824,436031553,14802126,116103,457455254,457455254
12,127806,63895,2242429,18770,6285293,430307083,20983658,96541,414114345,414114345
12,99423,49707,5332175,15308,423779004,452636345,18889458,58485,425647072,425647072
12,86638,43316,8831135,16562,419470984,442811104,9045430,52985,425779151,425779151
12,74040,37017,10732233,12979,436845462,458112669,63726634,69701,446669821,446669821
12,54930,27463,9728475,20874,428768023,448542277,32676242,42369,462971002,462971002
12,58515,29256,1660978,30252,1765075,455968583,37186,36038,97122,97122
