threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,116007,56953,10809667,14617,205280742,1728438483,22987429,41959,233652431,233652431
12,131678,65823,4843370,14412,206431593,230378833,9034449,45305,200130089,200130089
12,95887,47937,7646468,13014,211952962,400522451,30188587,38402,221485021,221485021
12,131041,65514,4748981,13691,212046717,413173108,36632156,48612,226187051,226187051
12,104997,52492,4058272,14126,218134088,231354755,25739218,45080,228762337,228762337
12,131961,65972,4690040,14637,214285692,264253345,23273179,45615,260982603,260982603
12,143799,71892,5418253,17493,220178327,228047024,13940816,76093,223718956,223718956
12,92539,46263,6046318,13265,223425806,467913493,22650297,38673,243118286,243118286
12,121558,60772,7136737,14918,218190825,336527106,20999850,43531,378215522,378215522
12,118186,59087,5245910,14066,215617673,253898430,27890723,40826,256074746,256074746
12,103067,51527,4675110,13235,218520775,242751287,40008422,54392,436896177,436896177
12,140226,70104,3138452,14187,214482702,230865016,11616152,43262,219750725,219750725
12,101374,50681,6116486,13255,219864308,438681139,26877510,64901,228751667,228751667
12,95151,47570,7078481,12574,211048162,235811695,14575377,31424,228344573,228344573
12,103549,51768,3163767,13034,150814931,416337149,19165196,53320,206324542,206324542
12,139158,69573,4516225,16822,216649701,241191578,18720484,59522,233682757,233682757
12,130555,65269,6410448,15028,222766979,470411685,12580180,45114,225248148,225248148
12,112847,56416,5440508,14041,218573124,441557299,11048403,35471,214320637,214320637
12,132162,66075,5499028,15389,220232770,230475324,17896202,63559,227237744,227237744
12,151047,75514,3856536,14617,210395807,226388840,20690934,47034,234204637,234204637
12,112282,56133,6593709,13460,223794278,265904476,37522072,58800,490005790,490005790
12,107983,53986,6785835,13275,223903773,301789112,27693918,49673,228285732,228285732
12,96923,48456,4892711,12924,212869643,263737256,56643659,62022,280060970,280060970
12,114200,57093,6603587,13175,217733346,235839447,27599418,35788,237893805,237893805
12,153420,76703,3652145,14557,201600911,225148080,36192835,70412,225616540,225616540
12,128344,64163,5850938,14137,219775101,228204429,31337111,57363,227823855,227823855
12,113262,56623,6045915,13229,221455496,343723179,45715155,70352,339675899,339675899
12,150643,75315,4074299,15239,213331591,287451127,24016235,47498,280301061,280301061
12,120673,60329,5029037,14457,214766455,225023907,7720432,41558,210926032,210926032
12,84637,42314,5488801,12924,207221256,235819129,34636145,36108,223125251,223125251
12,17516,8757,4614928,16962,205780791,227077273,24242728,26450,216103366,216103366
