threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,5302223,2650737,120416,18354,1251265,1604456,135344,43907,1518366,8490951
12,7939823,3956154,95107,17442,1361381,1644551,125740,42289,1507345,1947289
12,8101950,4030325,93362,18254,1262996,1556436,120423,43942,1481236,1864654
12,8038119,3998475,94923,17983,1294726,1561956,124013,43481,1492527,1861378
12,8030979,3996292,94034,17863,1296740,1573168,119092,42700,1472339,1904068
12,7785886,3874224,99706,16752,1429328,1718851,110825,39514,1497696,1865666
12,8019651,3990565,95050,17693,1302601,1565494,119954,42370,1454115,1925197
12,7951608,3957181,95291,17483,1345301,1596221,120374,41538,1528624,1879332
12,8054560,4008149,92181,17884,1295958,1543202,123958,43181,1466007,1868972
12,7968473,3963974,96100,17673,1345862,1581083,128008,43271,1552910,1923114
12,8026808,3994360,93728,17824,1317158,1560524,121330,43201,1463061,1844156
12,7993228,3977556,95018,17753,1338027,1578728,122241,42059,1467520,1836701
12,7882976,3922134,94875,17062,1397328,1619014,116814,40626,1575202,1941157
12,7948996,3956258,95752,17443,1361221,1684436,122416,42259,1527181,1944905
12,7929797,3946203,94167,17463,1358385,1608955,121270,41744,1527993,1868762
12,7992686,3976775,96130,17633,1348267,1599979,122991,42249,1493439,1855016
12,8002262,3982540,93192,17783,1319813,1638410,126727,42900,1526831,1925388
12,8041533,4001611,92348,17873,1301839,1556587,120391,42539,1536189,1958811
12,8007912,3984122,94565,17793,1322599,1581693,119692,43627,1458112,1779465
12,7948711,3955902,95801,17362,1353997,1557288,117927,41728,1540347,1969450
12,8032364,3997243,94637,17874,1297371,1538923,117684,43161,1458533,1885433
12,8014786,3987584,93720,17533,1289236,1586203,126068,41979,1537772,2369209
12,7881487,3922388,96084,17102,1389614,1584780,117287,40957,1514158,1899840
12,8043649,4002931,94490,17733,1305666,1567738,119583,42599,1472409,1941177
12,7874233,3917629,97503,17092,1395796,1692301,114684,41217,1540437,1848844
12,7943401,3953560,96601,17493,1364257,1601621,116935,42229,1492376,1916151
12,7982884,3972570,95247,17547,1344149,1582094,121327,42284,1556988,1937391
12,7969345,3965052,95195,17573,1324622,1575041,115185,42064,1468502,1913034
12,8044941,4003895,93923,17843,1285249,1581865,119708,42996,1504028,1913586
12,8023371,3992444,94173,18324,1331605,1581493,128374,44679,1508577,1883389
12,1661870,815247,45855,20639,178675,6846860,96233,42825,288490,9625858
