threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,3040873,1520176,124069,24440,1922538,8049165,268245,74059,4623507,14724651
12,4512787,2252348,97310,22873,2184910,5453945,236225,72917,4760965,9364313
12,4479019,2233234,96969,22662,2234644,5285449,253117,71775,4867014,9868269
12,4503778,2245873,97239,22683,2164872,5309483,261617,72636,4871422,9673282
12,4505610,2247099,93558,22963,1770512,5284376,246203,72341,4825355,9523622
12,4481360,2234828,93985,22793,1812451,5205027,242130,72736,4826918,9549520
12,4503540,2245758,97506,22833,2076187,5714053,244275,72736,4720268,9374422
12,4475771,2232211,99200,23003,2204016,6148728,247128,72471,4705490,9331872
12,4476169,2232301,96442,22612,1918420,6674104,245254,72826,4867244,9704351
12,4481161,2234587,92273,22542,1735477,6220624,246914,71444,4869889,9784070
12,4497135,2242898,98448,23033,2248420,5339320,249938,73398,4830164,9678652
12,4503019,2245660,94447,22903,2183066,5250212,244009,72837,4773628,9720751
12,4497585,2242728,99917,22753,2492047,4945010,246617,72536,4745034,9435857
12,4484965,2236810,94548,22822,2064905,4899664,247867,73367,4725448,9502742
12,4486980,2237666,100381,22617,2314954,5434137,257343,72205,4936865,10022097
12,4488115,2238026,97584,22893,2111793,5200890,254986,72255,4813122,9941356
12,4472229,2230466,94595,22803,1929972,5714774,243667,72066,4809495,9593733
12,4503038,2245577,95425,23053,2014440,5175703,248397,72155,4820967,9870382
12,4503244,2245547,100503,22983,2353998,5232680,252824,72556,4836586,9704811
12,4502293,2245437,93782,22742,1631501,5789254,250248,71724,4907189,9638988
12,4481606,2234948,93502,23123,1754943,5062310,253089,74490,4758510,9693430
12,4501948,2244908,92464,22653,1744283,6803658,247701,72446,4826507,9653265
12,4494320,2241446,95664,22682,1877273,5614727,253879,71514,4892772,9723627
12,4479184,2233712,94076,23098,1751637,6020027,253043,73929,4811089,10296963
12,4503766,2245803,95500,22843,2000464,5009601,248047,72215,4854970,9466223
12,4457885,2223288,95935,22803,2154483,5082918,241348,72205,4661468,9209402
12,4492438,2240358,102993,23058,2666814,5232359,245315,72316,4824894,9740328
12,4529058,2258410,95706,23043,1986769,5410934,246504,73257,4802572,9658685
12,4449619,2219152,95056,22883,2204336,5022235,240152,72887,4553866,9175879
12,4477794,2233059,95340,22633,1956672,6005089,247212,70963,4829834,9891302
12,968911,483127,76245,19457,1298567,6782227,198165,68258,4291494,8532722
