threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,6265930,3132386,88405,54984,166923,350749,183214,139327,461939,19257735
12,9289380,4626230,74687,56827,157627,308110,231368,146461,369435,20152879
12,9310467,4626180,78995,58525,164610,608945,227344,147868,410522,19829069
12,9320237,4632051,78474,57358,157977,349377,208686,147277,370216,19990242
12,9241474,4594430,73828,60494,150914,279226,221626,152737,377099,19966728
12,9271849,4609028,74990,60815,153649,284986,208898,151575,362362,20140165
12,9289126,4616758,79608,59793,152647,312407,210142,151185,375967,20113474
12,9322292,4634121,77865,59021,150322,326594,210648,149771,379544,19650123
12,9301273,4623570,73190,59713,149451,297940,203657,150874,372129,20019507
12,9280251,4612310,77237,60383,154961,330502,201396,153448,357112,19658178
12,9271305,4609410,78029,60254,153969,315764,215800,150227,384573,19851591
12,9291494,4618908,75070,59452,148710,303451,233712,151114,385144,19845089
12,9296199,4619747,77458,60734,151545,295486,241063,152256,388931,20036620
12,9329954,4637706,74736,59732,148510,301537,244154,151475,391636,19839549
12,9283779,4614856,76397,60474,151215,301477,210273,153283,362422,19716157
12,9306471,4625375,75055,59161,150232,328448,232279,151295,385836,20139513
12,9292858,4619934,75368,61295,147548,284205,213179,154821,350169,19569301
12,9320103,4632992,76506,60083,147217,314531,200196,153539,343245,19989020
12,9267718,4606039,74632,60694,152927,324601,238249,153339,371358,19980354
12,9279475,4612953,78099,60554,149762,310895,195222,152787,330321,19737146
12,9263247,4604264,76163,61355,152066,312027,209182,154381,388941,19678797
12,9268725,4606518,77735,62287,147076,300655,208766,156369,356360,20168177
12,9289774,4618465,75645,60524,147818,300034,231175,152627,360879,19931311
12,9287187,4616667,76753,60754,148028,309181,222152,152216,368343,20010230
12,9300275,4622271,73711,61345,145714,278864,201032,154501,355228,19437312
12,9296989,4621442,76497,60234,148740,341502,215882,151185,368413,19855670
12,9297231,4621605,76175,60063,147578,304442,221053,152947,350870,19825112
12,9248019,4596203,76067,62488,150243,308020,203608,156073,327275,20026791
12,9287720,4617601,75842,60223,150854,297269,225731,151484,378432,20009068
12,9268246,4607275,77141,60975,152376,330231,225896,152777,395093,19778825
12,1127288,525730,50425,19207,97103,8647592,110038,48541,316235,7121532
