threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,148405,72595,5456672,20238,201012133,1331890967,29347991,44313,861305500,861305500
12,124077,62023,4129186,12223,211899783,225195689,13571490,37911,225221297,225221297
12,126101,63043,6033039,12915,225223822,412889876,14241665,52999,445865183,445865183
12,150271,75128,3738267,13355,223640426,318784992,14368430,59962,234748822,234748822
12,164953,82466,4266208,14388,221720398,237357123,18957240,64716,236867232,236867232
12,157021,78499,4714798,13996,218271276,306454912,16862743,42830,224615018,224615018
12,131659,65822,5909811,14132,222615260,229728627,26236150,56947,447440523,447440523
12,111249,55618,7514133,13385,224902268,447673641,13918611,46266,215218520,215218520
12,131092,65538,6093176,11892,216545875,238871389,23473873,53806,231772538,231772538
12,120344,60166,4795109,12934,219334725,333959609,14991529,49262,219981320,219981320
12,105140,52564,4986280,12102,217839655,235345483,23343164,40767,231704470,231704470
12,147064,73523,3999376,12784,219300581,229672913,6296344,38873,229039963,229039963
12,189299,94639,3154804,14822,212143712,257068615,8978673,79309,220126413,429433544
12,232713,116340,3565674,15129,215973048,230923633,7256342,62748,221660105,225654632
12,200720,100342,3749081,15805,218662952,280906110,9564180,67958,221263730,221263730
12,248423,124196,3094954,15960,213654341,230255938,3928871,80230,192701165,221041062
12,280853,140403,1706283,16365,7569284,224888172,18578434,92845,439298553,439339258
12,260982,130463,3190967,15108,217784121,231252821,11588349,70232,234266395,239191791
12,810279,405080,1102055,17913,3787487,228739208,1682400,79299,9546580,224272044
12,7987347,3991781,94294,17994,1049222,4421799,208084,79810,1433473,20998690
12,8167058,4062814,89554,18004,1045425,4395910,195084,83698,1513545,6974075
12,8221081,4089962,86692,18023,1029855,4144689,191549,81343,1236594,16980490
12,8300001,4128933,89997,18355,1030758,4263051,183920,84298,1270728,4275995
12,8253652,4105565,90763,18104,1047970,4301945,208213,82715,1375365,23713322
12,8248465,4104211,87419,18264,1015939,4283479,209238,86347,1408056,11361711
12,8231768,4095457,88972,18144,1037359,4428262,188503,83497,1353614,14347061
12,8254195,4105459,88511,18295,1040335,4240078,203038,83738,1408106,12656104
12,8291001,4124649,90967,18255,1040465,4294189,185381,82910,1317145,8393113
12,8221555,4090334,88511,18154,1038742,4280755,170596,82645,1277581,6422499
12,7834889,3897148,57101,15328,793261,4053186,146131,75717,1031599,11633422
9,720503,358739,29421,22693,91091,4010838,58034,46046,237907,1062206
