threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,9298973,4558269,111117,30878,298641,2247453,207024,135574,782841,9630618
12,10923704,5427665,61236,28874,336813,2117900,257585,161869,961286,20711681
12,10987679,5453878,61312,27737,358283,1993987,269415,151875,991894,22122292
12,10927066,5424926,60488,28835,343706,1918826,221047,157085,917424,6176266
12,10940795,5435274,59737,27772,345149,1553019,285761,161995,1031008,28021087
12,11017731,5473188,60699,28754,350849,1556084,291824,156719,1021018,33725537
12,11077559,5504277,63638,28033,348585,3537227,235469,156043,904199,8784378
12,10905277,5417447,62436,28754,338747,3611837,235548,161959,956648,8870410
12,10880232,5405002,62122,27672,351550,3121085,235604,157486,1006522,7995785
12,10999103,5465822,62787,28694,347122,1863522,239731,158858,972196,8283266
12,10896250,5413516,62200,27642,352242,2775857,229895,156779,897547,8258800
12,10908555,5419399,60714,28584,354356,2618220,265206,157566,992525,15250689
12,11071407,5501157,60923,27842,351140,1944765,246136,156985,1005229,10777504
12,10915622,5423079,61593,28724,337394,3065010,228882,163177,932202,4144869
12,10968092,5448755,61195,27542,359626,1803359,266078,157586,954293,22520610
12,10943397,5437814,61218,28754,344618,1852692,242137,162164,956026,12083578
12,10911919,5421989,60111,27512,347303,1552628,231045,159189,942441,8096074
12,7773091,3861578,71055,28704,329890,2652575,243072,162636,979300,18807593
12,817414,406997,1308147,24767,745541,408686436,335913,176552,1582213,19786433
12,845370,422442,592770,25468,565182,395090316,2270206,159875,1864313,430941508
12,288046,143958,661659,21831,1946348,414143871,304435,112612,4142995,7368727
12,343003,171474,1613752,23184,3397063,432080258,8207012,134994,416826664,419813256
12,209469,104712,3144929,21580,6611394,441641174,13330103,126738,442130504,442130504
12,185521,92746,2743303,19171,5132776,435153052,18252923,109496,435041413,435041413
12,113080,56533,8820121,17312,432255767,448727331,16898199,74380,448051471,448051471
12,195016,97500,4929918,22142,415940698,454408937,8689747,93901,418871266,436601323
12,159014,79498,4568912,16350,405760137,424651878,12491510,99738,426616290,426616290
12,157199,78591,4331757,19236,21763829,452158960,21504497,73202,456960082,456960082
12,76944,38468,4316501,13991,14808729,886000307,45807627,48210,443239718,443239718
12,70487,35240,7790641,26871,419687489,441838766,27960180,35933,433884368,433884368
12,19801,9899,6469271,8676,369972134,421421127,42228203,34475,378830751,378830751
