threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2965929,1451827,172757,50505,361671,2787666,661226,264027,1143242,10784315
12,2636209,1315748,121314,20098,2323633,8849283,448133,112336,6292862,20836201
12,2546657,1271385,136139,17142,3618058,9633188,442905,97644,6547361,12583040
12,2559222,1277871,117647,17403,2747681,8673853,466393,100539,6578980,14666451
12,2562981,1279643,123332,17513,3146100,9777750,483788,96452,7290921,13653344
12,2553164,1274690,136264,17323,3672611,9617749,494654,97673,7719276,15154017
12,2579645,1288034,127305,17012,3120001,9026176,450904,95424,7011665,14331360
12,2546961,1271666,131545,16982,3340206,9509666,488827,97864,7855764,18669945
12,2550532,1273389,127207,17212,3196426,8369972,486122,99066,7477391,16252455
12,2554665,1275574,132993,17543,3275614,10023032,478272,99663,7585435,16828850
12,2547938,1272181,130864,17478,3286424,10485082,468470,96492,7358587,16456899
12,2561889,1279048,131518,17242,3291484,9477356,439678,96411,6939068,14674616
12,2554586,1275507,141763,17633,4074608,8736130,483765,97338,7207003,14646814
12,2561102,1278726,133401,17828,3358170,9044681,488481,100830,7585084,27370828
12,1275313,636710,377627,19827,3028419,191548990,809685,110659,6858777,200584293
12,126476,63196,3982052,15489,197570842,366233974,6822568,112572,225075482,371169541
12,73195,36593,3465801,12829,206661980,223910590,10956926,61185,228269803,327104026
12,45721,22858,7571043,9152,219355508,309402273,24165478,42895,237748431,434931212
12,34668,17333,11308580,8716,216798185,218513182,34671862,40186,361571158,413697613
12,31625,15811,14242232,8255,416784403,459681669,26561055,38697,402533575,411557726
12,26296,13147,13375910,9087,224469642,227906991,46751839,41253,451955710,454325439
12,32119,16058,9685290,8652,224494338,427661873,35864239,49202,257950598,436992030
12,30493,15245,16460913,9758,224686319,233036924,34381358,38102,372321409,429210176
12,28268,14133,16611980,8937,227770112,400934625,41152463,38883,266781618,467804536
12,26437,13217,13529630,8862,338495954,523867398,36560779,38562,434018485,478546531
12,23252,11625,12068744,9342,230646155,319716824,65809575,49307,570461622,634853750
12,29805,14901,20237455,9193,232357907,408844731,43032128,48932,467689749,643760601
12,18621,9310,13853475,8547,265116253,265116253,55486165,45526,643775509,643775509
12,17003,8501,24368982,8636,436305489,436305489,46979677,32952,682926767,682926767
12,18348,9173,30175940,9538,611837076,611837076,82765332,35742,888553398,888553398
12,9584,4791,23661619,9888,241167745,241167745,12977988,36563,212172050,212172050
