threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,5293536,2646221,130339,15459,1426149,1801740,102582,32412,1735555,2089845
12,7337231,3656285,104257,14638,1428654,1764550,102275,30878,1728922,1902500
12,7290629,3628070,104330,14518,1431659,1756123,100881,30437,1759560,1973806
12,7333302,3649872,105399,14698,1434715,1771162,91476,30668,1671283,2145771
12,7272583,3620054,105460,14477,1436268,1780961,102702,30397,1729323,1870910
12,7343516,3655422,104111,14648,1432371,1785359,90814,30468,1723792,1949950
12,7267592,3617389,105033,14507,1440667,1781802,112737,30297,1785209,1968074
12,7273122,3621285,104305,14507,1434235,1789527,104647,30403,1769660,2104352
12,7284931,3626832,106689,14507,1437240,1801039,105490,30522,1761093,2111627
12,7265797,3616660,105843,14507,1437340,1789025,102247,30478,1762335,1985277
12,7244323,3606928,107363,14488,1442139,1793905,105499,30448,1751876,1864008
12,7350347,3659367,103655,14657,1434214,1770380,111503,30668,1783385,2093272
12,7272133,3619592,107504,14518,1437661,1785219,100242,30558,1748689,2078975
12,7343218,3656144,103516,14678,1432962,1774027,103532,30869,1743820,2082622
12,7346330,3657170,105588,14708,1432361,1769339,94183,30818,1721207,2072462
12,7276657,3621945,108025,14518,1434885,1767765,99592,30307,1728631,1908091
12,7263770,3616551,106637,14528,1437360,1780610,103822,30538,1774368,2101056
12,7388566,3678379,102717,14838,1431649,1784908,101505,31093,1632580,1871161
12,7343197,3654977,104793,14717,1434024,1785018,101148,31073,1767905,2196036
12,7277141,3623120,107028,14557,1438262,1787183,106909,30318,1794937,2120764
12,7345396,3656833,103831,14698,1430697,1781612,107807,31019,1753168,1873906
12,7268427,3617824,106530,14488,1440116,1795928,98460,30492,1758227,2165899
12,7321313,3645267,103379,14708,1435958,1778907,103738,30969,1760532,2225011
12,7395642,3681744,103063,14838,1429956,1773987,106943,31073,1756494,2115914
12,7360108,3663384,102624,14687,1430438,1768967,97424,30653,1738159,2170838
12,7336500,3652658,104188,14718,1433463,1779739,105333,30653,1760692,2020093
12,7266604,3617444,105633,14498,1438212,1794717,104517,30628,1770180,1876101
12,7279640,3623507,105158,14518,1434304,1789577,97536,30277,1737248,1894876
12,7338187,3653615,105939,14668,1436649,1787392,103221,30838,1750303,2093633
12,7314522,3641375,103472,14697,1434384,1802711,108158,30758,1763257,2092019
12,1508236,714549,37785,19968,160824,4152799,89719,41939,456033,6129961
