threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,7075488,3537063,87817,58962,138273,274701,250881,123104,315519,20105557
12,9929637,4941012,72072,58481,142771,271635,162003,124346,309117,19824393
12,9907518,4918208,72542,60505,142391,270053,144610,128514,297625,469821
12,9901809,4920928,72449,60485,142530,265674,143841,128734,276905,527491
12,9925556,4932875,71256,59874,141028,268861,150488,127181,271575,19642468
12,9918439,4929940,74185,60214,140206,271957,162540,127912,285031,19339293
12,9923935,4931947,71008,59763,141238,261366,162148,127437,292405,19355383
12,9885535,4913003,72874,60886,140006,258320,160561,128348,260675,19754080
12,9887320,4914165,74531,61437,142450,256677,152196,129641,276595,498766
12,9921478,4930617,72235,60666,141839,268499,168574,129866,277416,19706379
12,9904218,4923712,73708,61537,141519,263409,151136,130608,281404,9776955
12,9913021,4926979,76471,60254,138823,267578,155259,128479,269291,19110519
12,9888047,4914689,73469,61737,140738,267297,162619,130958,290661,19162497
12,9889199,4916702,73847,61457,140918,270042,163207,130758,260645,19862766
12,9898864,4920287,73503,61386,140587,268269,158573,130177,268639,19451556
12,9867530,4903906,73021,62289,139004,260715,152119,132160,275052,649573
12,9842509,4893122,75740,63069,140748,268960,165192,132201,271876,19661664
12,9834228,4887960,72335,63861,141318,252299,155796,133428,255685,19201441
12,9838776,4890063,76073,64102,144614,267157,156985,135617,261606,19123733
12,9867519,4905696,74504,61617,139625,264112,145526,130523,256707,464241
12,9847800,4894826,74325,62659,141479,266957,138854,131494,254603,469221
12,9895221,4917995,71826,60835,139394,264011,132799,129816,260344,491132
12,9896642,4920667,73270,61116,139034,259913,149202,129791,264282,554502
12,9860808,4901736,75127,62168,138523,271696,158397,131590,266917,19675461
12,9828531,4885206,76512,63811,141248,268038,163981,132892,264001,20101339
12,9827758,4885772,76158,63771,143412,262759,169553,134054,278258,19725436
12,9814145,4878316,75420,63821,142680,265234,149044,134085,262789,642349
12,9829909,4885484,74479,64051,141548,256116,154034,135822,258271,542219
12,9843028,4893408,74180,63340,141919,262608,148231,133644,266315,469401
12,9760730,4851498,74860,60965,140346,316471,160503,129200,269792,19461926
12,893650,431751,31801,17944,79932,5083137,60296,41624,203837,2898912
