threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,2671446,1335432,181250,20409,3896056,6097571,255188,59938,5591971,8554324
12,3884169,1938758,170909,20498,3584331,6972103,221141,60138,5585569,8490864
12,3868305,1930103,173079,20208,4567757,6054149,215076,59462,5528241,8396477
12,3889216,1940840,166239,20378,3986086,6759283,228162,59602,5627267,8733340
12,3889864,1941318,167109,20318,3876590,6304399,223071,59511,5580129,8482119
12,3881420,1936935,172511,20273,3732229,6078765,229953,59331,5620495,8549495
12,3874289,1933335,166244,20398,3906196,6252641,227979,59717,5600006,8602174
12,3853275,1923087,173906,20358,3989843,6731952,227991,59712,5652154,8622472
12,3878604,1935580,166619,20459,3556168,6061252,225569,59522,5585318,8333459
12,3865741,1929080,168015,20348,3919310,6698599,218998,59557,5513925,8475476
12,3864204,1928569,173105,20258,4077407,6119752,221875,59682,5590428,8502026
12,3857314,1924957,171544,20458,3972199,6227294,226478,59612,5599164,8700058
12,3856795,1924626,169176,20378,3451812,6124401,226845,59742,5567906,8606201
12,3880307,1936590,174363,20318,4032322,6257420,216447,59792,5460935,8454716
12,3865617,1929103,185248,20288,4540496,6404367,220730,59251,5517351,8570784
12,3873752,1933100,179948,20348,4261523,6117058,216346,59581,5533020,8516774
12,3856531,1924708,174410,20439,4243118,6290212,221463,59001,5580780,8555356
12,3872313,1932426,181547,20358,4592244,7193619,219918,59561,5586962,8523186
12,3875061,1933745,169356,20378,3548924,6089696,221187,59763,5606368,8367843
12,3848463,1920678,178670,20348,4436902,6075920,217322,59357,5564700,8602014
12,3851343,1922003,175030,20349,4164250,6347610,228567,59932,5637366,8503348
12,3855589,1924062,170972,20308,4159180,6279392,224807,59231,5576051,8591573
12,3863198,1928062,175432,20388,4507284,7017959,231544,59783,5587292,8468924
12,3866176,1929372,163888,20298,3355652,5952989,225133,59221,5548931,8834199
12,3866801,1929628,171331,20428,3629476,6139499,209846,59672,5516379,8384766
12,3855449,1924158,166562,20248,3667487,6035714,225641,59692,5549892,8499081
12,3865780,1929206,169754,20318,3671615,6018762,218831,59501,5545754,8425883
12,3880670,1936553,169388,20398,3832848,6322182,224105,60344,5576191,8352976
12,3858716,1925774,168743,20449,3804885,6005177,232864,59506,5611397,8730014
12,3887864,1940195,179333,20418,4640585,6168614,229510,59772,5653356,8449717
12,1074720,536307,72798,17843,2473425,5435687,162425,54277,4063040,7948817
