threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1137863,568828,670080,45815,9720712,10380502,456511,50835,9336006,10197851
12,1488804,743820,705591,42910,9864791,10288199,340098,47509,9616819,10264426
12,1486156,742379,676756,43471,9862967,10320389,319063,47524,9342929,10236694
12,1486121,742452,751395,42739,9976619,10485908,324121,47032,9474704,10187451
12,1472685,735792,673003,42894,10000193,10461041,343933,47338,9730531,10370684
12,1473896,736364,695255,42790,10126628,10566157,331578,46506,9710353,10459309
12,1466662,732732,676457,42840,10102644,10582398,354009,46506,9615586,10362177
12,1457615,728273,702777,42273,10004431,10372457,341159,46551,9581382,10274043
12,1456020,727447,751393,42670,10035338,10562360,363802,47558,9869339,10408945
12,1453844,726335,735738,42328,10065624,10464799,363505,47158,9746680,10246592
12,1462636,730783,677925,42790,10056889,10564915,343470,47233,9686939,10351177
12,1467180,733017,740998,43240,10059203,10495876,334882,47488,9608543,10338283
12,1474589,736699,682566,43461,9923820,10380351,337343,47549,9591582,10259086
12,1481024,739965,675242,43120,9953175,10330899,340151,47599,9580330,10335808
12,1481317,740077,667689,43911,9891300,10349764,344697,48360,9379085,10195747
12,1484336,741562,729142,43311,9977441,10332803,324667,48140,9243373,10210615
12,1470082,734493,715073,43320,9961901,10374540,316648,47303,9508126,10192982
12,1477989,738409,710373,43045,9969195,10366365,344656,47183,9671470,10141847
12,1465366,732086,724019,43160,9971449,10422680,355203,47764,9713528,10290724
12,1457050,727991,697936,42920,9973162,10425325,355146,47598,9621517,10224521
12,1480551,739701,659724,43471,9894677,10425766,309533,47409,9520920,10310110
12,1477898,738342,720711,43381,9984133,10385060,331057,47659,9466268,10138451
12,1470219,734566,669507,42640,10014369,10390470,351156,47379,9657855,10313497
12,1484208,741523,674199,43245,9910045,10388366,354673,47749,9590269,10291395
12,1483014,740898,713704,43230,9914984,10436747,345140,48340,9616318,10292467
12,1479101,739002,725375,43792,9996987,10435314,318945,47664,9469844,10255769
12,1482707,740771,733769,43822,9930684,10430244,355126,48014,9553150,10252853
12,1470197,734497,673139,43030,9982330,10457054,320813,47769,9472068,10203792
12,1480990,739947,672638,43241,9919963,10386042,325802,47218,9492427,10165310
12,1466683,732758,694792,43361,9984193,10453577,321654,47389,9570863,10240731
12,378941,189316,465327,48495,9662854,15094935,280498,54361,9328522,13190707
