threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1594288,797016,420293,79093,6534792,10376134,812145,93495,7237895,311322202
12,2351428,1174418,318065,79623,6167536,9073883,340611,91141,6879115,8387070
12,2352683,1174440,319756,75566,6998327,9200309,288913,87303,6595145,8322810
12,2336873,1166660,315193,76142,6870479,9359155,408597,90489,7608026,9792535
12,2355133,1175911,332778,76583,7300802,9810960,351207,90124,7587268,8902794
12,2335764,1166160,324468,75962,6877903,9387208,339834,90710,6901326,9540494
12,2351924,1174153,334191,76062,7014658,10287159,357821,92072,6881900,11081792
12,2349560,1173124,333947,78567,6883833,8651985,389931,90569,7103203,8900860
12,2342736,1169661,342761,74970,7341028,8904066,397690,83010,7432959,9715141
12,2328959,1162689,328598,73978,7380861,9348546,330986,88496,7249988,8129249
12,2361298,1178946,325526,77204,6499627,9002791,371282,91275,7150121,8114421
12,2324739,1160652,326592,75451,7053631,8955532,349767,88235,7201257,8264923
12,2299102,1147814,332206,74504,7198982,10051458,374145,86502,7118732,9211711
12,2370651,1183669,321340,80395,6665797,9277273,324824,92112,7132167,7992784
12,2347332,1171907,330288,78647,6658864,9124909,288536,88069,5666421,8454036
12,2303972,1150208,350049,71192,7753187,9703328,344082,81072,7657308,9010865
12,2360934,1178793,331421,78000,6987518,8999043,347689,92543,6178928,8750189
12,2318402,1157459,329373,74499,7299299,10039757,377348,87734,7351727,10051608
12,2321534,1159007,349074,73667,7504633,10256361,289944,85064,6658984,8417828
12,2322625,1159663,327998,71162,7458888,9886311,326744,81126,7820202,9041182
12,2345024,1170834,340941,77274,6834953,8787719,387147,92602,7128861,7986622
12,2351555,1173983,319817,76513,6700582,8796896,364137,86987,7325158,9375336
12,2320751,1158732,330396,75812,7083727,9717124,325417,88685,6802302,8851938
12,2342228,1169383,328599,72686,7457034,8854073,392655,86722,7613376,9210658
12,2324826,1160658,331680,74669,6999791,9207011,342689,87353,7579703,8545226
12,2369529,1183087,320783,79083,6452298,8815410,321505,91140,5932106,8319645
12,2363426,1179974,321920,77064,6222198,9569909,314674,92322,5044119,7684399
12,2347722,1172081,331347,77404,6917697,8615908,336799,88896,6584435,8472069
12,2323174,1159944,339205,73898,7341458,9603151,320402,87032,6275859,8556557
12,2315988,1156320,326103,75040,6826407,9904113,345662,87513,7305791,9959106
12,755024,377014,182962,71744,3970644,8144548,213904,81031,4074297,6977809
