threads,ops,throughput,get_avg,get_p50,get_p99,get_p999,put_avg,put_p50,put_p99,put_p999
12,1062617,531190,622406,35567,7008635,7412605,283767,43056,6750721,7127158
12,1541041,769862,501549,34956,7088305,7406293,236061,40390,6739440,7283852
12,1540887,769587,514555,35397,7111869,7413186,240659,40537,6990210,7631747
12,1539771,769192,510989,35146,7035055,7346070,219106,41658,6608273,7296186
12,1549784,774236,526141,35377,7074149,7363212,313335,40882,6971957,7374894
12,1535681,767144,520606,35186,7126557,7444465,261022,41809,6808159,7400912
12,1540926,769767,522276,35411,7079509,7391295,228836,42009,6755880,7292419
12,1533263,765981,488722,35136,7075211,7345308,214932,40946,6845809,7532900
12,1560346,779469,507741,35617,7000780,7341561,304023,42811,6870886,7352221
12,1538193,768390,510612,35311,7072666,7379342,222153,41413,6635154,7224471
12,1547651,773159,494493,35487,7029705,7325441,313416,42370,6824770,7117290
12,1540414,769506,516455,34855,7103984,7393860,246629,41528,6785165,7380074
12,1532229,765421,546504,35216,7076252,7400832,257214,40997,7033733,7376036
12,1533264,765981,535182,35276,7107882,7379672,257795,41358,7000180,7229060
12,1554300,776447,508982,35727,7056616,7378070,288373,40486,6909649,7568437
12,1537980,768283,526651,35326,7109906,7414899,279534,40932,6873962,7189906
12,1534431,766560,531237,35036,7122920,7407335,270013,40896,6941278,7374273
12,1543093,770847,510485,35296,7063058,7426381,264109,41072,6885834,7272852
12,1534439,766527,516646,35146,7063268,7358623,221701,41222,6845519,7227377
12,1535725,767200,488883,35036,7058399,7380424,352318,42350,7052498,7532861
12,1550560,774576,511677,35446,7004347,7301156,310380,40576,6940237,7440497
12,1542341,770454,506309,35361,7063869,7366989,310041,42399,6857932,7329208
12,1547183,772935,506983,35276,7081833,7371828,216065,40571,6571073,7426060
12,1538288,768443,513542,35116,7081312,7354706,187145,40616,6453182,7213000
12,1542977,770795,535434,35346,7062476,7351229,251924,42691,6761431,7370726
12,1526912,762805,535990,34975,7070331,7343645,294565,41072,6782891,7316044
12,1537022,767815,497446,35016,7091681,7406774,188084,41623,6763485,7725914
12,1531165,764886,500210,34845,7090299,7379893,279477,40331,6970804,7293450
12,1556157,777416,490333,35386,7034624,7314811,237562,41342,6723399,7196328
12,1561607,780195,494865,35697,6985232,7286548,372229,41623,6920620,7333145
12,563961,281704,287269,36594,6416242,8501833,156273,42179,6388229,6921873
